#;Company;Symbol;Weight;Price;Chg;% Chg;Date
1;Apple Inc.;AAPL;6.73%;211.50;1.36;(0.65%);2025-04-29
2;Microsoft Corp;MSFT;6.20%;393.81;2.64;(0.68%);2025-04-29
3;Nvidia Corp;NVDA;5.68%;109.94;1.21;(1.11%);2025-04-29
4;Amazon.com Inc;AMZN;3.78%;187.71;0.01;(0.01%);2025-04-29
5;Meta Platforms, Inc. Class A;META;2.57%;555.19;5.45;(0.99%);2025-04-29
6;Berkshire Hathaway Class B;BRK.B;2.08%;533.77;2.82;(0.53%);2025-04-29
7;Alphabet Inc. Class A;GOOGL;2.00%;160.27;-0.34;(-0.21%);2025-04-29
8;Broadcom Inc.;AVGO;1.92%;192.69;0.22;(0.11%);2025-04-29
9;Tesla, Inc.;TSLA;1.71%;286.02;0.13;(0.05%);2025-04-29
10;Alphabet Inc. Class C;GOOG;1.64%;162.29;-0.13;(-0.08%);2025-04-29
11;Eli Lilly & Co.;LLY;1.47%;889.34;12.05;(1.37%);2025-04-29
12;Jpmorgan Chase & Co.;JPM;1.45%;244.80;1.58;(0.65%);2025-04-29
13;Visa Inc.;V;1.24%;340.61;3.10;(0.92%);2025-04-29
14;Netflix Inc;NFLX;1.01%;1,119.32;8.94;(0.80%);2025-04-29
15;Exxon Mobil Corporation;XOM;1.01%;108.12;-0.51;(-0.47%);2025-04-29
16;Mastercard Incorporated;MA;0.93%;538.23;3.74;(0.70%);2025-04-29
17;Costco Wholesale Corp;COST;0.93%;988.61;10.07;(1.03%);2025-04-29
18;Walmart Inc.;WMT;0.88%;95.66;0.44;(0.47%);2025-04-29
19;Unitedhealth Group Incorporated;UNH;0.82%;411.05;-8.95;(-2.13%);2025-04-29
20;Procter & Gamble Company;PG;0.81%;161.37;-0.48;(-0.29%);2025-04-29
21;Johnson & Johnson;JNJ;0.80%;156.21;0.86;(0.56%);2025-04-29
22;Home Depot, Inc.;HD;0.76%;359.25;2.33;(0.65%);2025-04-29
23;Abbvie Inc.;ABBV;0.72%;194.81;2.47;(1.29%);2025-04-29
24;Coca-Cola Company;KO;0.59%;72.39;0.59;(0.83%);2025-04-29
25;Bank of America Corporation;BAC;0.56%;39.96;0.17;(0.44%);2025-04-29
26;Philip Morris International Inc.;PM;0.56%;170.01;0.84;(0.50%);2025-04-29
27;Salesforce, Inc.;CRM;0.54%;267.42;1.78;(0.67%);2025-04-29
28;Palantir Technologies Inc. Class A;PLTR;0.50%;115.94;1.28;(1.12%);2025-04-29
29;Chevron Corporation;CVX;0.50%;139.42;-0.68;(-0.49%);2025-04-29
30;Wells Fargo & Co.;WFC;0.49%;71.14;1.71;(2.47%);2025-04-29
31;Oracle Corp;ORCL;0.48%;140.62;0.48;(0.34%);2025-04-29
32;Mcdonald's Corporation;MCD;0.48%;315.64;-1.17;(-0.37%);2025-04-29
33;Cisco Systems, Inc.;CSCO;0.48%;57.33;0.49;(0.86%);2025-04-29
34;Abbott Laboratories;ABT;0.48%;130.85;1.32;(1.02%);2025-04-29
35;International Business Machines Corporation;IBM;0.47%;239.40;3.24;(1.37%);2025-04-29
36;Ge Aerospace;GE;0.46%;200.44;-0.42;(-0.21%);2025-04-29
37;Linde Plc;LIN;0.45%;451.04;3.04;(0.68%);2025-04-29
38;Merck & Co., Inc.;MRK;0.45%;84.69;1.50;(1.80%);2025-04-29
39;At&t Inc.;T;0.42%;27.33;0.06;(0.24%);2025-04-29
40;Servicenow, Inc.;NOW;0.41%;939.04;1.63;(0.17%);2025-04-29
41;Pepsico, Inc.;PEP;0.39%;133.83;0.07;(0.05%);2025-04-29
42;Accenture Plc;ACN;0.39%;296.70;3.45;(1.18%);2025-04-29
43;Intuitive Surgical Inc.;ISRG;0.39%;515.18;1.17;(0.23%);2025-04-29
44;Verizon Communications;VZ;0.38%;42.84;0.45;(1.05%);2025-04-29
45;Intuit Inc;INTU;0.37%;622.25;4.01;(0.65%);2025-04-29
46;Goldman Sachs Group Inc.;GS;0.36%;549.34;2.94;(0.54%);2025-04-29
47;Rtx Corporation;RTX;0.35%;124.93;0.13;(0.10%);2025-04-29
48;Uber Technologies, Inc.;UBER;0.35%;79.27;0.94;(1.20%);2025-04-29
49;Qualcomm Inc;QCOM;0.35%;147.90;0.28;(0.19%);2025-04-29
50;The Walt Disney Company;DIS;0.35%;91.42;1.26;(1.40%);2025-04-29
51;Booking Holdings Inc.;BKNG;0.35%;4,906.41;16.45;(0.34%);2025-04-29
52;Thermo Fisher Scientific, Inc.;TMO;0.34%;428.02;6.68;(1.59%);2025-04-29
53;Adobe Inc.;ADBE;0.34%;371.74;3.12;(0.85%);2025-04-29
54;Progressive Corporation;PGR;0.34%;275.94;6.36;(2.36%);2025-04-29
55;Advanced Micro Devices;AMD;0.33%;96.92;0.53;(0.55%);2025-04-29
56;Amgen Inc;AMGN;0.32%;288.62;5.53;(1.95%);2025-04-29
57;S&p Global Inc.;SPGI;0.32%;492.24;12.87;(2.69%);2025-04-29
58;Boston Scientific Corp.;BSX;0.32%;102.91;0.73;(0.71%);2025-04-29
59;Texas Instruments Incorporated;TXN;0.32%;161.70;-0.75;(-0.46%);2025-04-29
60;American Express Company;AXP;0.31%;266.71;1.75;(0.66%);2025-04-29
61;Caterpillar Inc.;CAT;0.31%;307.33;0.27;(0.09%);2025-04-29
62;Morgan Stanley;MS;0.31%;116.06;0.23;(0.20%);2025-04-29
63;Tjx Companies, Inc.;TJX;0.30%;127.58;0.45;(0.36%);2025-04-29
64;Boeing Company;BA;0.29%;181.82;-0.48;(-0.26%);2025-04-29
65;The Charles Schwab Corporation;SCHW;0.29%;81.03;0.85;(1.06%);2025-04-29
66;Nextra Energy, Inc.;NEE;0.29%;66.67;0.48;(0.72%);2025-04-29
67;Blackrock, Inc.;BLK;0.28%;918.28;4.53;(0.50%);2025-04-29
68;Gilead Sciences Inc;GILD;0.28%;105.92;-0.42;(-0.39%);2025-04-29
69;Pfizer Inc.;PFE;0.28%;23.85;0.79;(3.45%);2025-04-29
70;Honeywell International, Inc.;HON;0.28%;210.36;9.70;(4.83%);2025-04-29
71;Union Pacific Corp.;UNP;0.27%;214.52;1.90;(0.90%);2025-04-29
72;Citigroup Inc.;C;0.27%;68.79;0.51;(0.75%);2025-04-29
73;Vertex Pharmaceuticals Inc;VRTX;0.27%;505.40;8.91;(1.79%);2025-04-29
74;Comcast Corp;CMCSA;0.27%;33.97;0.20;(0.58%);2025-04-29
75;Stryker Corporation;SYK;0.27%;370.77;4.28;(1.17%);2025-04-29
76;Danaher Corporation;DHR;0.27%;198.59;2.68;(1.37%);2025-04-29
77;Lowe's Companies Inc.;LOW;0.27%;222.54;1.39;(0.63%);2025-04-29
78;Applied Materials Inc;AMAT;0.26%;150.85;0.06;(0.04%);2025-04-29
79;Palo Alto Networks, Inc.;PANW;0.26%;186.49;4.95;(2.73%);2025-04-29
80;Automatic Data Processing;ADP;0.25%;295.21;1.63;(0.56%);2025-04-29
81;Conocophillips;COP;0.25%;92.15;-0.78;(-0.84%);2025-04-29
82;Deere & Company;DE;0.25%;461.41;1.21;(0.26%);2025-04-29
83;Eaton Corporation, Plcs;ETN;0.24%;290.27;2.53;(0.88%);2025-04-29
84;T-Mobile Us, Inc.;TMUS;0.24%;240.33;3.56;(1.51%);2025-04-29
85;Marsh & Mclennan Companies, Inc.;MMC;0.23%;221.10;0.63;(0.29%);2025-04-29
86;Medtronic Plc;MDT;0.23%;84.84;0.80;(0.95%);2025-04-29
87;Chubb Limited;CB;0.22%;284.48;2.30;(0.82%);2025-04-29
88;Crowdstrike Holdings, Inc. Class A;CRWD;0.22%;430.71;7.63;(1.80%);2025-04-29
89;Ge Vernova Inc.;GEV;0.22%;370.65;0.58;(0.16%);2025-04-29
90;Fiserv, Inc.;FI;0.22%;184.25;6.22;(3.49%);2025-04-29
91;Lockheed Martin Corp.;LMT;0.21%;473.94;-2.36;(-0.49%);2025-04-29
92;The Southern Company;SO;0.21%;91.10;0.35;(0.39%);2025-04-29
93;American Tower Corporation;AMT;0.21%;220.79;9.49;(4.49%);2025-04-29
94;Altria Group, Inc.;MO;0.21%;58.73;0.54;(0.93%);2025-04-29
95;Bristol-Myers Squibb Co.;BMY;0.21%;49.25;0.79;(1.64%);2025-04-29
96;Blackstone Inc.;BX;0.21%;133.00;-0.58;(-0.43%);2025-04-29
97;Cme Group Inc.;CME;0.21%;271.27;3.35;(1.25%);2025-04-29
98;Analog Devices, Inc.;ADI;0.21%;194.29;0.57;(0.29%);2025-04-29
99;Elevance Health, Inc.;ELV;0.20%;413.03;-0.80;(-0.19%);2025-04-29
100;Prologis, Inc.;PLD;0.20%;103.34;0.02;(0.02%);2025-04-29
101;Starbucks Corp;SBUX;0.20%;84.16;0.26;(0.31%);2025-04-29
102;Intercontinental Exchange  Inc.;ICE;0.20%;165.81;2.33;(1.43%);2025-04-29
103;Duke Energy Corporation;DUK;0.20%;121.52;0.85;(0.70%);2025-04-29
104;Kla Corporation;KLAC;0.20%;694.49;0.77;(0.11%);2025-04-29
105;Amphenol Corporation;APH;0.20%;76.55;0.67;(0.88%);2025-04-29
106;Lam Research Corp;LRCX;0.20%;71.48;-0.09;(-0.13%);2025-04-29
107;The Cigna Group;CI;0.20%;337.33;2.51;(0.75%);2025-04-29
108;Welltower Inc.;WELL;0.19%;150.88;1.83;(1.23%);2025-04-29
109;Intel Corp;INTC;0.19%;20.55;0.04;(0.21%);2025-04-29
110;Mckesson Corporation;MCK;0.19%;709.33;9.60;(1.37%);2025-04-29
