#;Company;Symbol;Weight;Price;Chg;% Chg;Date
1;Apple Inc.;AAPL;6.67%;190.25;-6.73;(-3.41%);2025-04-21
2;Microsoft Corp;MSFT;6.16%;358.39;-9.39;(-2.55%);2025-04-21
3;Nvidia Corp;NVDA;5.60%;95.34;-6.15;(-6.06%);2025-04-21
4;Amazon.com Inc;AMZN;3.67%;165.72;-6.89;(-3.99%);2025-04-21
5;Meta Platforms, Inc. Class A;META;2.47%;482.93;-18.55;(-3.70%);2025-04-21
6;Berkshire Hathaway Class B;BRK.B;2.14%;501.26;-16.95;(-3.27%);2025-04-21
7;Alphabet Inc. Class A;GOOGL;1.99%;146.57;-4.59;(-3.03%);2025-04-21
8;Broadcom Inc.;AVGO;1.81%;162.65;-8.34;(-4.88%);2025-04-21
9;Alphabet Inc. Class C;GOOG;1.63%;148.74;-4.62;(-3.02%);2025-04-21
10;Tesla, Inc.;TSLA;1.52%;223.27;-18.10;(-7.50%);2025-04-21
11;Eli Lilly & Co.;LLY;1.49%;817.49;-22.47;(-2.67%);2025-04-21
12;Jpmorgan Chase & Co.;JPM;1.46%;227.46;-4.50;(-1.94%);2025-04-21
13;Visa Inc.;V;1.28%;318.16;-11.45;(-3.47%);2025-04-21
14;Exxon Mobil Corporation;XOM;1.05%;104.43;-2.50;(-2.33%);2025-04-21
15;Costco Wholesale Corp;COST;0.99%;948.79;-45.71;(-4.60%);2025-04-21
16;Mastercard Incorporated;MA;0.95%;505.57;-11.76;(-2.27%);2025-04-21
17;Unitedhealth Group Incorporated;UNH;0.94%;432.76;-21.35;(-4.70%);2025-04-21
18;Netflix Inc;NFLX;0.94%;978.22;5.19;(0.53%);2025-04-21
19;Walmart Inc.;WMT;0.91%;91.42;-1.80;(-1.93%);2025-04-21
20;Procter & Gamble Company;PG;0.90%;165.21;-5.42;(-3.17%);2025-04-21
21;Johnson & Johnson;JNJ;0.85%;156.40;-1.07;(-0.68%);2025-04-21
22;Home Depot, Inc.;HD;0.79%;342.08;-12.98;(-3.65%);2025-04-21
23;Abbvie Inc.;ABBV;0.69%;169.43;-3.56;(-2.06%);2025-04-21
24;Coca-Cola Company;KO;0.64%;72.14;-0.86;(-1.18%);2025-04-21
25;Philip Morris International Inc.;PM;0.57%;160.26;-2.95;(-1.81%);2025-04-21
26;Bank of America Corporation;BAC;0.56%;36.61;-0.80;(-2.14%);2025-04-21
27;Salesforce, Inc.;CRM;0.53%;234.21;-13.05;(-5.28%);2025-04-21
28;Chevron Corporation;CVX;0.52%;132.68;-5.19;(-3.77%);2025-04-21
29;Abbott Laboratories;ABT;0.51%;129.04;-1.94;(-1.48%);2025-04-21
30;Mcdonald's Corporation;MCD;0.50%;305.87;-5.43;(-1.74%);2025-04-21
31;Cisco Systems, Inc.;CSCO;0.50%;54.14;-1.63;(-2.91%);2025-04-21
32;International Business Machines Corporation;IBM;0.50%;233.72;-5.09;(-2.13%);2025-04-21
33;Linde Plc;LIN;0.48%;442.65;-9.47;(-2.10%);2025-04-21
34;Wells Fargo & Co.;WFC;0.48%;63.79;-0.92;(-1.42%);2025-04-21
35;Oracle Corp;ORCL;0.47%;121.62;-7.00;(-5.45%);2025-04-21
36;Merck & Co., Inc.;MRK;0.44%;77.22;-0.78;(-0.99%);2025-04-21
37;Pepsico, Inc.;PEP;0.44%;141.09;-1.75;(-1.23%);2025-04-21
38;Ge Aerospace;GE;0.44%;176.99;-4.80;(-2.64%);2025-04-21
39;At&t Inc.;T;0.44%;26.22;-0.93;(-3.41%);2025-04-21
40;Palantir Technologies Inc. Class A;PLTR;0.43%;90.20;-3.58;(-3.81%);2025-04-21
41;Verizon Communications;VZ;0.42%;42.76;-1.28;(-2.91%);2025-04-21
42;Accenture Plc;ACN;0.40%;277.37;-4.98;(-1.76%);2025-04-21
43;Intuitive Surgical Inc.;ISRG;0.39%;464.64;-18.10;(-3.75%);2025-04-21
44;Rtx Corporation;RTX;0.39%;125.06;-3.83;(-2.97%);2025-04-21
45;Intuit Inc;INTU;0.37%;561.81;-23.57;(-4.03%);2025-04-21
46;Thermo Fisher Scientific, Inc.;TMO;0.37%;420.41;-7.09;(-1.66%);2025-04-21
47;Servicenow, Inc.;NOW;0.36%;745.15;-27.01;(-3.50%);2025-04-21
48;Goldman Sachs Group Inc.;GS;0.36%;499.03;-10.47;(-2.05%);2025-04-21
49;Uber Technologies, Inc.;UBER;0.35%;72.19;-3.05;(-4.06%);2025-04-21
50;Progressive Corporation;PGR;0.35%;256.20;-9.25;(-3.48%);2025-04-21
51;The Walt Disney Company;DIS;0.35%;83.59;-1.23;(-1.44%);2025-04-21
52;Adobe Inc.;ADBE;0.34%;341.57;-7.23;(-2.07%);2025-04-21
53;Booking Holdings Inc.;BKNG;0.34%;4,384.08;-189.24;(-4.14%);2025-04-21
54;Qualcomm Inc;QCOM;0.34%;133.89;-2.77;(-2.03%);2025-04-21
55;Amgen Inc;AMGN;0.34%;272.53;-4.76;(-1.72%);2025-04-21
56;S&p Global Inc.;SPGI;0.33%;446.68;-16.20;(-3.50%);2025-04-21
57;Tjx Companies, Inc.;TJX;0.32%;122.66;-4.96;(-3.88%);2025-04-21
58;Advanced Micro Devices;AMD;0.32%;83.95;-3.55;(-4.06%);2025-04-21
59;Boston Scientific Corp.;BSX;0.32%;93.18;-1.94;(-2.04%);2025-04-21
60;Caterpillar Inc.;CAT;0.32%;282.73;-11.52;(-3.91%);2025-04-21
61;American Express Company;AXP;0.31%;239.36;-11.95;(-4.76%);2025-04-21
62;Nextra Energy, Inc.;NEE;0.31%;64.12;-2.19;(-3.30%);2025-04-21
63;Texas Instruments Incorporated;TXN;0.30%;143.37;-5.07;(-3.41%);2025-04-21
64;Morgan Stanley;MS;0.30%;105.41;-3.77;(-3.45%);2025-04-21
65;Union Pacific Corp.;UNP;0.30%;214.10;-6.16;(-2.79%);2025-04-21
66;Gilead Sciences Inc;GILD;0.29%;103.61;-0.93;(-0.89%);2025-04-21
67;The Charles Schwab Corporation;SCHW;0.29%;74.11;-2.05;(-2.69%);2025-04-21
68;Comcast Corp;CMCSA;0.29%;33.40;-0.61;(-1.79%);2025-04-21
69;Honeywell International, Inc.;HON;0.29%;192.63;-3.97;(-2.02%);2025-04-21
70;Blackrock, Inc.;BLK;0.29%;851.60;-24.18;(-2.76%);2025-04-21
71;T-Mobile Us, Inc.;TMUS;0.28%;252.86;-9.18;(-3.50%);2025-04-21
72;Vertex Pharmaceuticals Inc;VRTX;0.28%;477.58;-11.52;(-2.36%);2025-04-21
73;Pfizer Inc.;PFE;0.28%;21.95;-0.20;(-0.88%);2025-04-21
74;Lowe's Companies Inc.;LOW;0.28%;210.83;-8.18;(-3.73%);2025-04-21
75;Boeing Company;BA;0.27%;157.16;-4.75;(-2.93%);2025-04-21
76;Danaher Corporation;DHR;0.27%;183.38;-3.45;(-1.84%);2025-04-21
77;Automatic Data Processing;ADP;0.27%;283.07;-10.21;(-3.48%);2025-04-21
78;Stryker Corporation;SYK;0.27%;335.48;-11.02;(-3.18%);2025-04-21
79;Citigroup Inc.;C;0.27%;62.24;-1.01;(-1.60%);2025-04-21
80;Fiserv, Inc.;FI;0.27%;205.56;-3.10;(-1.48%);2025-04-21
81;Deere & Company;DE;0.26%;437.10;-14.97;(-3.31%);2025-04-21
82;Conocophillips;COP;0.26%;86.51;-2.47;(-2.78%);2025-04-21
83;Applied Materials Inc;AMAT;0.25%;133.32;-4.14;(-3.01%);2025-04-21
84;Palo Alto Networks, Inc.;PANW;0.25%;158.85;-8.84;(-5.27%);2025-04-21
85;Marsh & Mclennan Companies, Inc.;MMC;0.24%;211.76;-8.31;(-3.77%);2025-04-21
86;Chubb Limited;CB;0.24%;278.50;-7.09;(-2.48%);2025-04-21
87;Eaton Corporation, Plcs;ETN;0.24%;256.57;-11.75;(-4.38%);2025-04-21
88;Medtronic Plc;MDT;0.24%;81.42;-1.18;(-1.43%);2025-04-21
89;American Tower Corporation;AMT;0.23%;216.88;-5.78;(-2.60%);2025-04-21
90;The Southern Company;SO;0.23%;90.06;-1.75;(-1.90%);2025-04-21
91;Bristol-Myers Squibb Co.;BMY;0.22%;48.49;-0.74;(-1.50%);2025-04-21
92;Altria Group, Inc.;MO;0.22%;57.29;-0.88;(-1.50%);2025-04-21
93;Elevance Health, Inc.;ELV;0.22%;404.90;-19.63;(-4.62%);2025-04-21
94;Lockheed Martin Corp.;LMT;0.22%;454.86;-9.22;(-1.99%);2025-04-21
95;Blackstone Inc.;BX;0.21%;120.45;-9.94;(-7.62%);2025-04-21
96;Cme Group Inc.;CME;0.21%;259.46;-3.07;(-1.17%);2025-04-21
97;Prologis, Inc.;PLD;0.21%;97.72;-4.38;(-4.29%);2025-04-21
98;Duke Energy Corporation;DUK;0.21%;119.69;-2.11;(-1.73%);2025-04-21
99;Starbucks Corp;SBUX;0.21%;79.14;-2.36;(-2.90%);2025-04-21
100;Crowdstrike Holdings, Inc. Class A;CRWD;0.21%;356.86;-18.76;(-4.99%);2025-04-21
101;Intercontinental Exchange  Inc.;ICE;0.21%;154.03;-4.61;(-2.91%);2025-04-21
102;The Cigna Group;CI;0.20%;324.19;-5.94;(-1.80%);2025-04-21
103;Welltower Inc.;WELL;0.20%;142.77;-4.51;(-3.06%);2025-04-21
104;Ge Vernova Inc.;GEV;0.20%;307.63;-15.92;(-4.92%);2025-04-21
105;Analog Devices, Inc.;ADI;0.20%;172.36;-3.91;(-2.22%);2025-04-21
106;Mckesson Corporation;MCK;0.20%;678.42;-18.67;(-2.68%);2025-04-21
107;Mondelez International, Inc. Class A;MDLZ;0.20%;67.21;-0.11;(-0.17%);2025-04-21
108;Cvs Health Corporation;CVS;0.19%;64.68;-2.62;(-3.89%);2025-04-21
109;Waste Management, Inc.;WM;0.19%;225.65;-5.26;(-2.28%);2025-04-21
110;Kla Corporation;KLAC;0.19%;611.12;-23.31;(-3.67%);2025-04-21
111;Arthur J. Gallagher & Co.;AJG;0.19%;318.83;-10.39;(-3.16%);2025-04-21
112;Intel Corp;INTC;0.18%;18.39;-0.54;(-2.87%);2025-04-21
113;Lam Research Corp;LRCX;0.18%;61.67;-2.09;(-3.28%);2025-04-21
114;O'reilly Automotive, Inc.;ORLY;0.18%;1,353.88;-37.02;(-2.66%);2025-04-21
115;Aon Plc Class A;AON;0.18%;353.85;-13.56;(-3.69%);2025-04-21
116;Amphenol Corporation;APH;0.18%;62.82;-2.25;(-3.45%);2025-04-21
117;Colgate-Palmolive Company;CL;0.17%;94.54;-0.96;(-1.01%);2025-04-21
118;The Sherwin-Williams Company;SHW;0.17%;321.61;-11.77;(-3.53%);2025-04-21
119;Equinix, Inc. Reit;EQIX;0.17%;767.29;-22.86;(-2.89%);2025-04-21
120;Micron Technology, Inc.;MU;0.17%;65.93;-2.87;(-4.17%);2025-04-21
121;Transdigm Group Incorporated;TDG;0.17%;1,296.17;-41.50;(-3.10%);2025-04-21
122;Trane Technologies Plc;TT;0.17%;322.01;-11.15;(-3.35%);2025-04-21
123;Northrop Grumman Corp.;NOC;0.17%;529.26;-11.13;(-2.06%);2025-04-21
124;Arista Networks;ANET;0.17%;66.79;-4.41;(-6.20%);2025-04-21
125;Parker-Hannifin Corporation;PH;0.16%;540.25;-20.75;(-3.70%);2025-04-21
126;Williams Companies Inc.;WMB;0.16%;55.87;-2.75;(-4.70%);2025-04-21
127;Cadence Design Systems;CDNS;0.16%;249.81;-10.41;(-4.00%);2025-04-21
128;3m Company;MMM;0.16%;124.91;-5.30;(-4.07%);2025-04-21
129;United Parcel Service, Inc. Class B;UPS;0.16%;95.27;-1.16;(-1.20%);2025-04-21
130;Cintas Corp;CTAS;0.16%;199.04;-6.72;(-3.27%);2025-04-21
131;Motorola Solutions, Inc.;MSI;0.16%;410.32;-10.63;(-2.52%);2025-04-21
132;General Dynamics Corporation;GD;0.16%;271.22;-4.87;(-1.76%);2025-04-21
133;Kkr & Co. Inc.;KKR;0.16%;97.24;-6.13;(-5.93%);2025-04-21
134;Zoetis Inc.;ZTS;0.15%;146.38;-2.29;(-1.54%);2025-04-21
135;Nike, Inc.;NKE;0.15%;54.21;-1.55;(-2.79%);2025-04-21
136;Moody's Corporation;MCO;0.15%;408.66;-16.20;(-3.81%);2025-04-21
137;Chipotle Mexican Grill, Inc.;CMG;0.15%;45.67;-2.50;(-5.20%);2025-04-21
138;Constellation Energy Corporation;CEG;0.15%;190.02;-16.66;(-8.06%);2025-04-21
139;Synopsys Inc;SNPS;0.14%;398.19;-15.13;(-3.66%);2025-04-21
140;Newmont Corporation;NEM;0.14%;54.55;-0.53;(-0.96%);2025-04-21
141;Eog Resources, Inc.;EOG;0.14%;107.82;-2.69;(-2.43%);2025-04-21
142;Capital One Financial;COF;0.14%;163.87;1.10;(0.68%);2025-04-21
143;Illinois Tool Works Inc.;ITW;0.14%;225.44;-5.40;(-2.34%);2025-04-21
144;Doordash, Inc. Class A;DASH;0.14%;170.43;-10.81;(-5.97%);2025-04-21
145;Fortinet, Inc.;FTNT;0.14%;91.78;-4.35;(-4.53%);2025-04-21
146;Autozone, Inc.;AZO;0.14%;3,517.82;-85.65;(-2.38%);2025-04-21
147;Paypal Holdings, Inc.;PYPL;0.14%;59.60;-1.40;(-2.29%);2025-04-21
148;Pnc Financial Services Group;PNC;0.14%;148.52;-3.81;(-2.50%);2025-04-21
149;Ecolab, Inc.;ECL;0.14%;229.87;-8.86;(-3.71%);2025-04-21
150;Hca Healthcare, Inc.;HCA;0.13%;316.64;-18.37;(-5.48%);2025-04-21
151;Roper Technologies, Inc.;ROP;0.13%;538.21;-19.03;(-3.42%);2025-04-21
152;U.S. Bancorp;USB;0.13%;37.34;-0.86;(-2.24%);2025-04-21
153;Regeneron Pharmaceuticals Inc;REGN;0.13%;562.75;-0.41;(-0.07%);2025-04-21
154;Air Products & Chemicals, Inc.;APD;0.13%;254.37;-8.53;(-3.24%);2025-04-21
155;The Travelers Companies, Inc.;TRV;0.13%;250.43;-5.43;(-2.12%);2025-04-21
156;American Electric Power Company, Inc.;AEP;0.13%;105.28;-2.43;(-2.25%);2025-04-21
157;Becton, Dickinson and Co.;BDX;0.13%;194.77;-3.94;(-1.98%);2025-04-21
158;Apollo Global Management, Inc.;APO;0.13%;119.33;-7.45;(-5.87%);2025-04-21
159;Emerson Electric Co.;EMR;0.13%;95.90;-3.67;(-3.68%);2025-04-21
160;Autodesk Inc;ADSK;0.13%;251.50;-7.97;(-3.07%);2025-04-21
161;Bank of New York Mellon Corporation;BK;0.12%;73.88;-2.46;(-3.22%);2025-04-21
162;Oneok, Inc.;OKE;0.12%;81.14;-5.09;(-5.90%);2025-04-21
163;Csx Corporation;CSX;0.12%;27.20;-0.48;(-1.75%);2025-04-21
164;Aflac Inc.;AFL;0.12%;104.32;-3.12;(-2.90%);2025-04-21
165;Kinder Morgan, Inc.;KMI;0.12%;25.55;-1.55;(-5.74%);2025-04-21
166;Copart Inc;CPRT;0.12%;58.50;-1.18;(-1.98%);2025-04-21
167;The Allstate Corporation;ALL;0.12%;185.92;-8.74;(-4.49%);2025-04-21
168;Realty Income Corporation;O;0.11%;57.39;-0.93;(-1.60%);2025-04-21
169;Johnson Controls International Plc;JCI;0.11%;74.14;-2.69;(-3.51%);2025-04-21
170;Hilton Worldwide Holdings Inc.;HLT;0.11%;201.67;-8.78;(-4.17%);2025-04-21
171;Marriot International Class A;MAR;0.11%;212.79;-7.62;(-3.46%);2025-04-21
172;Howmet Aerospace Inc.;HWM;0.11%;118.43;-4.80;(-3.90%);2025-04-21
